姓名,國文,英文,數學,自然,社會,總分,平均,名次
林清英,95,94,73,76,91,429,85.8,1.0
杜明延,97,96,53,96,83,425,85.0,2.0
唐雪豪,93,88,86,97,60,424,84.8,3.0
余丞苓,72,99,96,58,99,424,84.8,3.0
林康亮,100,84,83,76,80,423,84.6,5.0
陳淑萍,85,89,58,100,90,422,84.4,6.0
藍哲嘉,74,58,95,93,96,416,83.2,7.0
趙家豪,82,98,89,91,56,416,83.2,7.0
林珍旺,75,77,97,64,92,405,81.0,9.0
艾巧夫,76,81,68,90,88,403,80.6,10.0
陳筱涵,61,94,79,72,95,401,80.2,11.0
戴萱能,93,67,82,61,97,400,80.0,12.0
陳淑萍,57,93,91,93,65,399,79.8,13.0
馮耀中,79,97,58,80,83,397,79.4,14.0
盧冠發,59,86,98,59,94,396,79.2,15.0
林士凱,95,75,69,78,70,387,77.4,16.0
林冠蕙,81,100,51,79,73,384,76.8,17.0
劉旭士,75,73,91,77,66,382,76.4,18.0
童建霖,97,61,71,98,53,380,76.0,19.0
黃必琪,66,73,62,82,96,379,75.8,20.0
鄭孟芳,68,79,65,90,75,377,75.4,21.0
陳孝邦,94,70,58,91,62,375,75.0,22.0
余宗儒,90,59,63,94,68,374,74.8,23.0
蔡欣汝,60,92,60,89,72,373,74.6,24.0
游一鈺,76,79,97,71,50,373,74.6,24.0
盧文啟,94,59,80,61,77,371,74.2,26.0
洪阿惠,56,69,63,100,81,369,73.8,27.0
蔡至剛,72,57,99,68,67,363,72.6,28.0
朱彥志,75,68,80,51,88,362,72.4,29.0
陳向愛,55,74,98,50,85,362,72.4,29.0
賴心怡,78,70,78,75,60,361,72.2,31.0
楊火帆,70,65,69,69,86,359,71.8,32.0
王德城,81,67,85,69,56,358,71.6,33.0
趙宛真,62,66,81,81,65,355,71.0,34.0
張凱妮,66,68,93,70,57,354,70.8,35.0
黃雅慧,62,86,72,61,69,350,70.0,36.0
王惠皓,85,58,86,67,54,350,70.0,36.0
羅幸娥,81,84,50,79,54,348,69.6,38.0
林怡偉,65,59,67,59,88,338,67.6,39.0
楊韻如,64,53,53,84,83,337,67.4,40.0
林佳人,52,80,76,70,59,337,67.4,40.0
吳明妮,51,57,89,51,88,336,67.2,42.0
吳明妮,77,82,67,56,52,334,66.8,43.0
陳淑娟,69,70,52,90,53,334,66.8,43.0
陳怡容,53,81,77,60,59,330,66.0,45.0
陳姵彬,73,50,62,58,86,329,65.8,46.0
張凱妮,62,57,88,61,56,324,64.8,47.0
謝水儒,85,61,55,55,53,309,61.8,48.0
彭虹屏,75,58,56,51,51,291,58.2,49.0
張伊映,51,63,51,56,64,285,57.0,50.0
